Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  11.705 (48);  12.545 (52);  24.250
10-19;  27.096 (49);  28.399 (51);  55.495
20-29;  35.249 (49);  37.170 (51);  72.419
30-39;  22.933 (50);  23.304 (50);  46.237
40-49;  24.203 (52);  21.938 (48);  46.141
50-59;  21.348 (51);  20.844 (49);  42.192
60-69;  10.505 (48);  11.206 (52);  21.711
70-79;   6.136 (49);   6.332 (51);  12.468
80-89;   3.562 (58);   2.627 (42);   6.189
90+;   1.339 (70);     569 (30);   1.908
I alt; 164.076 (50); 164.934 (50); 329.010
