Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.473 (48);  14.400 (52);  27.873
10-19;  29.610 (49);  30.718 (51);  60.328
20-29;  37.038 (49);  38.919 (51);  75.957
30-39;  24.658 (50);  24.707 (50);  49.365
40-49;  25.579 (53);  22.989 (47);  48.568
50-59;  22.118 (51);  21.516 (49);  43.634
60-69;  10.887 (48);  11.568 (52);  22.455
70-79;   6.357 (49);   6.556 (51);  12.913
80-89;   3.670 (57);   2.714 (43);   6.384
90+;   1.381 (70);     582 (30);   1.963
I alt; 174.771 (50); 174.669 (50); 349.440
