Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.929 (48);  14.833 (52);  28.762
10-19;  30.192 (49);  31.355 (51);  61.547
20-29;  37.528 (49);  39.357 (51);  76.885
30-39;  25.147 (50);  25.131 (50);  50.278
40-49;  25.946 (53);  23.320 (47);  49.266
50-59;  22.356 (51);  21.770 (49);  44.126
60-69;  11.041 (48);  11.724 (52);  22.765
70-79;   6.487 (49);   6.655 (51);  13.142
80-89;   3.722 (57);   2.760 (43);   6.482
90+;   1.413 (71);     591 (29);   2.004
I alt; 177.761 (50); 177.496 (50); 355.257
