Aldersgruppe;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt;Uge 23_Ingen vaccination;Uge 23_Første vaccination;Uge 23_Anden vaccination;Uge 23_Fuld vaccineeffekt;Uge 22_Ingen vaccination;Uge 22_Første vaccination;Uge 22_Anden vaccination;Uge 22_Fuld vaccineeffekt
12-15;175,1;45,9;4;3,3;202,7;81,8;12,2;5,4;319,6;113,8;20;20,5;467,9;153,7;48,3;35,9;456,7;145,1;95,2;0;308,8;119,2;170,5;0;229,1;97,9;0;0;157,2;88,3;0;0;120,8;162,7;0;0;91,2;0;0;0;55,3;0;0;0;26;0;0;0;23,7;0;0;0;38;0;0;0;69,6;0;0;0;118,9;0;0;0
16-19;185,1;38,2;4;3,6;289;50,1;14,3;12,1;378,5;204;23,3;21,8;557;181,7;39,5;34,2;668;166,7;53,8;48,4;732,4;210,9;65,7;47,4;593,9;180;69,6;43,9;379,4;198,1;89,1;56,2;283;180,6;111,1;93,8;259,5;232,7;485,4;185,2;172,1;186,6;368,5;191,8;93,5;117,7;48,4;0;38,8;29,5;0;0;55,1;54,1;0;0;97,2;164,5;0;0;232,9;536,7;0;0
20-29;130,1;46,7;21,1;21;204,9;130;30,6;31,7;248,6;118,7;38,2;38,1;353,7;120,3;42,2;42,6;461,6;134,4;69,2;68,9;577,1;193;115,3;96,3;523,4;215,2;176,7;152;484;340;253,8;217,9;352,9;322,1;276,7;241;424,6;523,8;380,1;285,7;240,3;435,6;179,4;173;143,8;292,8;60,8;57,3;56,1;116,2;16,7;12,1;69,1;134,2;27;9,1;132,7;238;27,4;22,4;207,7;149,8;26,5;14,2
30-39;122,4;93,4;24,8;25;185,5;123,3;37,2;37,7;239,1;106,2;50;53,4;308,6;139,7;59,2;70,6;363,4;110;77,7;96,3;337,6;95,6;100,6;105,9;281,4;96,3;100;98,3;202,6;117,1;121,8;119,9;142,6;116,6;71,9;74,3;166,8;221,2;148,3;147,3;115,4;182,4;83,7;81,4;69,2;84,1;43,5;41;43,7;60,6;21,4;15,5;45,4;11,7;17,9;3,5;65,9;45,8;21,1;7,7;94;73,6;26;28
40-49;117,8;75;27;27,2;164,3;177,1;36,6;36,5;251,7;238,8;57,4;58,1;369,6;193,4;81,6;81,2;320,9;215,1;61,2;59,4;314,6;163,6;67,8;59;294,8;129,2;53,5;51,1;205,6;86,2;51,5;52;109,7;63,1;52,8;56,3;96,3;68,2;67,8;48,4;68,9;57,2;44,9;42;36,8;38,9;15,4;15,9;27,5;27,7;3,4;2,4;31,9;46,8;9,2;8,8;55,1;87,9;14,6;14,9;96;164,6;21,1;19,8
50-59;87,1;65;19,2;18,9;141;201,7;26,2;26;167,8;87,1;42,8;42,5;237,6;272,2;42;42;247,3;206;42,2;41,7;237,3;217,4;36,2;35,1;222,6;183,4;30,2;29,7;142,1;103,5;25,2;24,4;88,6;49,4;20,7;20,5;107,5;53,2;32,6;29,5;56,1;42,8;29,4;24,5;30,4;20,8;21,3;10,8;19;12,7;8,5;7,4;43,7;15,2;10,1;10,5;46,3;36,9;7,6;8,1;54,5;79,2;20,9;22,5
60-69;52,9;101,4;17,5;17,6;92,4;127,8;22;22;100,4;0;27;27;137,7;125;28,6;28,5;112,1;199,7;31,8;31,9;116,2;43,6;25;24,7;71,4;60,8;20,2;20,1;83,9;129,2;18,5;18,5;35,3;41;11,6;11,5;42,2;25,6;11,3;11;47,9;13,9;9,1;9,2;14,6;11,8;5;5;9,3;5;3,5;3,1;12,7;7,9;5,6;6,8;32,5;15,6;9,6;7,2;34,8;22,1;11,4;6,9
70-79;49,7;71,6;14,3;14,3;43,8;133,4;20,9;20,9;43,3;61,9;22,6;22,7;74,6;115,6;28,8;28,9;68,3;49,6;20,7;20,7;20,8;0;18,3;18,3;25,6;32,6;14,4;14,4;10,1;56,2;10,5;10,5;19,8;0;8,4;8,4;24,2;0;7,1;7,2;14,1;0;5,4;5,4;9,2;0;3,1;3,1;4,4;0;1,6;1,7;4,3;10,4;1,8;1,9;8;10,2;3,2;3,1;18,5;12,6;3,7;3,9
80+;18,4;0;17,8;17,8;27,4;0;24,2;24,2;108,7;156,5;23,9;23,6;71,6;76,3;23,6;23,7;26,6;0;22,7;22,7;61,5;118,2;17,6;17,3;8,7;0;13,2;13,2;8,6;0;10;10;8,5;0;10,3;10,3;16,7;0;6,5;6,5;8,2;0;2,9;2,9;0;28,3;1;1;0;0;1,6;1,6;23;0;3,3;3;22,3;0;2,6;2,7;7,1;14,4;6;6
12+;127,4;64,4;19,1;19;182,1;117,4;27,1;27;247,2;129,6;37;37,1;349,4;150,5;44;43,8;385,4;139,2;45,3;43;379,3;142,6;46,8;39,8;323,7;143,5;42,8;36;251,3;182,5;41,8;32,9;180,4;162;31,4;25,4;200,9;219,5;37,7;28,9;129,5;143,9;21,7;19,4;76;72,9;9,7;8,2;39;25,5;4,2;3,4;47,8;24,8;5,7;4,3;80,3;36,2;6,8;5,4;127,3;49,4;9,4;8,4
