Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  20.248 (49);  21.447 (51);  41.695
10-19;  37.718 (49);  38.602 (51);  76.320
20-29;  43.243 (49);  44.677 (51);  87.920
30-39;  31.227 (51);  30.406 (49);  61.633
40-49;  32.431 (53);  29.320 (47);  61.751
50-59;  26.695 (50);  26.238 (50);  52.933
60-69;  14.004 (49);  14.568 (51);  28.572
70-79;   8.831 (49);   9.016 (51);  17.847
80-89;   4.470 (56);   3.468 (44);   7.938
90+;   1.535 (70);     667 (30);   2.202
I alt; 220.402 (50); 218.409 (50); 438.811
