Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  11.439 (48);  12.307 (52);  23.746
10-19;  26.612 (49);  27.958 (51);  54.570
20-29;  34.673 (49);  36.544 (51);  71.217
30-39;  22.602 (50);  22.953 (50);  45.555
40-49;  23.911 (52);  21.707 (48);  45.618
50-59;  21.217 (51);  20.721 (49);  41.938
60-69;  10.452 (48);  11.157 (52);  21.609
70-79;   6.107 (49);   6.294 (51);  12.401
80-89;   3.551 (58);   2.616 (42);   6.167
90+;   1.337 (70);     563 (30);   1.900
I alt; 161.901 (50); 162.820 (50); 324.721
