Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   8.896 (48);   9.606 (52);  18.502
10-19;  18.895 (49);  19.921 (51);  38.816
20-29;  23.762 (51);  22.841 (49);  46.603
30-39;  17.593 (51);  16.987 (49);  34.580
40-49;  19.339 (53);  17.196 (47);  36.535
50-59;  18.114 (51);  17.265 (49);  35.379
60-69;   9.283 (49);   9.825 (51);  19.108
70-79;   5.740 (49);   5.890 (51);  11.630
80-89;   3.432 (58);   2.514 (42);   5.946
90+;   1.306 (71);     545 (29);   1.851
I alt; 126.360 (51); 122.590 (49); 248.950
