Uge;Aldersgruppe;Klassifikation;Procent af indlæggelser
uge 49 2021;0-59;Covid-19 diagnose;65,0
uge 50 2021;0-59;Covid-19 diagnose;66,4
uge 51 2021;0-59;Covid-19 diagnose;59,5
uge 52 2021;0-59;Covid-19 diagnose;56,4
uge 1 2022;0-59;Covid-19 diagnose;52,0
uge 2 2022;0-59;Covid-19 diagnose;54,5
uge 3 2022;0-59;Covid-19 diagnose;49,4
uge 4 2022;0-59;Covid-19 diagnose;44,2
uge 49 2021;60+;Covid-19 diagnose;78,6
uge 50 2021;60+;Covid-19 diagnose;76,8
uge 51 2021;60+;Covid-19 diagnose;81,1
uge 52 2021;60+;Covid-19 diagnose;78,8
uge 1 2022;60+;Covid-19 diagnose;72,7
uge 2 2022;60+;Covid-19 diagnose;72,0
uge 3 2022;60+;Covid-19 diagnose;71,4
uge 4 2022;60+;Covid-19 diagnose;70,8
uge 49 2021;0-59;Luftvejs- eller obsdiagnose;5,3
uge 50 2021;0-59;Luftvejs- eller obsdiagnose;3,8
uge 51 2021;0-59;Luftvejs- eller obsdiagnose;3,1
uge 52 2021;0-59;Luftvejs- eller obsdiagnose;4,4
uge 1 2022;0-59;Luftvejs- eller obsdiagnose;3,9
uge 2 2022;0-59;Luftvejs- eller obsdiagnose;4,1
uge 3 2022;0-59;Luftvejs- eller obsdiagnose;5,8
uge 4 2022;0-59;Luftvejs- eller obsdiagnose;5,2
uge 49 2021;60+;Luftvejs- eller obsdiagnose;4,2
uge 50 2021;60+;Luftvejs- eller obsdiagnose;4,2
uge 51 2021;60+;Luftvejs- eller obsdiagnose;2,2
uge 52 2021;60+;Luftvejs- eller obsdiagnose;2,6
uge 1 2022;60+;Luftvejs- eller obsdiagnose;3,9
uge 2 2022;60+;Luftvejs- eller obsdiagnose;3,6
uge 3 2022;60+;Luftvejs- eller obsdiagnose;1,6
uge 4 2022;60+;Luftvejs- eller obsdiagnose;3,4
uge 49 2021;0-59;Anden diagnose;29,7
uge 50 2021;0-59;Anden diagnose;29,8
uge 51 2021;0-59;Anden diagnose;37,4
uge 52 2021;0-59;Anden diagnose;39,3
uge 1 2022;0-59;Anden diagnose;44,0
uge 2 2022;0-59;Anden diagnose;41,4
uge 3 2022;0-59;Anden diagnose;44,8
uge 4 2022;0-59;Anden diagnose;50,6
uge 49 2021;60+;Anden diagnose;17,2
uge 50 2021;60+;Anden diagnose;19,0
uge 51 2021;60+;Anden diagnose;16,7
uge 52 2021;60+;Anden diagnose;18,6
uge 1 2022;60+;Anden diagnose;23,4
uge 2 2022;60+;Anden diagnose;24,3
uge 3 2022;60+;Anden diagnose;27,0
uge 4 2022;60+;Anden diagnose;25,9
