Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  11.633 (48);  12.491 (52);  24.124
10-19;  26.978 (49);  28.286 (51);  55.264
20-29;  35.104 (49);  37.029 (51);  72.133
30-39;  22.851 (50);  23.223 (50);  46.074
40-49;  24.122 (52);  21.884 (48);  46.006
50-59;  21.316 (51);  20.817 (49);  42.133
60-69;  10.493 (48);  11.196 (52);  21.689
70-79;   6.132 (49);   6.325 (51);  12.457
80-89;   3.559 (58);   2.625 (42);   6.184
90+;   1.339 (70);     569 (30);   1.908
I alt; 163.527 (50); 164.445 (50); 327.972
