Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.675 (48);  11.535 (52);  22.210
10-19;  24.525 (49);  25.832 (51);  50.357
20-29;  31.233 (49);  32.141 (51);  63.374
30-39;  21.165 (50);  21.345 (50);  42.510
40-49;  22.850 (52);  20.825 (48);  43.675
50-59;  20.718 (51);  20.215 (49);  40.933
60-69;  10.250 (48);  10.953 (52);  21.203
70-79;   6.017 (49);   6.187 (51);  12.204
80-89;   3.504 (58);   2.573 (42);   6.077
90+;   1.327 (70);     559 (30);   1.886
I alt; 152.264 (50); 152.165 (50); 304.429
