Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  11.211 (48);  12.068 (52);  23.279
10-19;  26.148 (49);  27.423 (51);  53.571
20-29;  34.043 (49);  35.809 (51);  69.852
30-39;  22.241 (50);  22.603 (50);  44.844
40-49;  23.644 (52);  21.482 (48);  45.126
50-59;  21.082 (51);  20.588 (49);  41.670
60-69;  10.392 (48);  11.103 (52);  21.495
70-79;   6.083 (49);   6.262 (51);  12.345
80-89;   3.542 (58);   2.603 (42);   6.145
90+;   1.332 (70);     563 (30);   1.895
I alt; 159.718 (50); 160.504 (50); 320.222
