Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  24.007 (49);  25.277 (51);  49.284
10-19;  41.660 (50);  42.397 (50);  84.057
20-29;  45.892 (49);  47.340 (51);  93.232
30-39;  34.412 (51);  33.165 (49);  67.577
40-49;  35.908 (52);  32.639 (48);  68.547
50-59;  29.065 (50);  28.736 (50);  57.801
60-69;  15.568 (49);  16.167 (51);  31.735
70-79;  10.017 (50);  10.211 (50);  20.228
80-89;   4.756 (56);   3.754 (44);   8.510
90+;   1.580 (69);     702 (31);   2.282
I alt; 242.865 (50); 240.388 (50); 483.253
