Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  12.071 (48);  12.973 (52);  25.044
10-19;  27.687 (49);  28.967 (51);  56.654
20-29;  35.800 (49);  37.732 (51);  73.532
30-39;  23.336 (50);  23.630 (50);  46.966
40-49;  24.472 (53);  22.137 (47);  46.609
50-59;  21.491 (51);  20.974 (49);  42.465
60-69;  10.581 (48);  11.281 (52);  21.862
70-79;   6.173 (49);   6.371 (51);  12.544
80-89;   3.580 (58);   2.642 (42);   6.222
90+;   1.345 (70);     572 (30);   1.917
I alt; 166.536 (50); 167.279 (50); 333.815
