Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  12.440 (48);  13.363 (52);  25.803
10-19;  28.224 (49);  29.496 (51);  57.720
20-29;  36.205 (49);  38.111 (51);  74.316
30-39;  23.727 (50);  23.943 (50);  47.670
40-49;  24.774 (53);  22.352 (47);  47.126
50-59;  21.655 (51);  21.107 (49);  42.762
60-69;  10.667 (48);  11.362 (52);  22.029
70-79;   6.211 (49);   6.413 (51);  12.624
80-89;   3.606 (58);   2.657 (42);   6.263
90+;   1.352 (70);     575 (30);   1.927
I alt; 168.861 (50); 169.379 (50); 338.240
