Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.548 (48);  11.413 (52);  21.961
10-19;  23.950 (49);  25.250 (51);  49.200
20-29;  29.904 (50);  30.340 (50);  60.244
30-39;  20.754 (50);  20.787 (50);  41.541
40-49;  22.652 (52);  20.586 (48);  43.238
50-59;  20.574 (51);  20.078 (49);  40.652
60-69;  10.216 (48);  10.920 (52);  21.136
70-79;   6.000 (49);   6.173 (51);  12.173
80-89;   3.500 (58);   2.567 (42);   6.067
90+;   1.323 (70);     559 (30);   1.882
I alt; 149.421 (50); 148.673 (50); 298.094
