Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 155.137 (49); 164.319 (51); 319.456
10-19; 235.812 (50); 235.646 (50); 471.458
20-29; 217.010 (53); 195.950 (47); 412.960
30-39; 213.588 (53); 187.473 (47); 401.061
40-49; 208.083 (53); 182.273 (47); 390.356
50-59; 162.348 (52); 149.760 (48); 312.108
60-69;  93.963 (52);  88.344 (48); 182.307
70-79;  50.508 (50);  50.720 (50); 101.228
80-89;  18.561 (54);  16.054 (46);  34.615
90+;   5.656 (69);   2.509 (31);   8.165
I alt;1.360.684 (52);1.273.074 (48);2.633.759
