Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.738 (48);  11.594 (52);  22.332
10-19;  24.761 (49);  26.077 (51);  50.838
20-29;  31.707 (49);  32.797 (51);  64.504
30-39;  21.327 (50);  21.557 (50);  42.884
40-49;  22.974 (52);  20.911 (48);  43.885
50-59;  20.784 (51);  20.283 (49);  41.067
60-69;  10.268 (48);  10.968 (52);  21.236
70-79;   6.026 (49);   6.197 (51);  12.223
80-89;   3.510 (58);   2.577 (42);   6.087
90+;   1.327 (70);     561 (30);   1.888
I alt; 153.422 (50); 153.522 (50); 306.944
