Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.980 (48);  14.887 (52);  28.867
10-19;  30.287 (49);  31.413 (51);  61.700
20-29;  37.579 (49);  39.403 (51);  76.982
30-39;  25.205 (50);  25.182 (50);  50.387
40-49;  25.990 (53);  23.361 (47);  49.351
50-59;  22.382 (51);  21.802 (49);  44.184
60-69;  11.053 (48);  11.737 (52);  22.790
70-79;   6.508 (49);   6.672 (51);  13.180
80-89;   3.725 (57);   2.767 (43);   6.492
90+;   1.420 (71);     591 (29);   2.011
I alt; 178.129 (50); 177.815 (50); 355.944
