Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  15.210 (49);  16.000 (51);  31.210
10-19;  31.804 (49);  32.741 (51);  64.545
20-29;  38.677 (49);  40.382 (51);  79.059
30-39;  26.339 (50);  26.242 (50);  52.581
40-49;  27.182 (53);  24.419 (47);  51.601
50-59;  23.136 (51);  22.539 (49);  45.675
60-69;  11.577 (49);  12.224 (51);  23.801
70-79;   6.917 (50);   7.052 (50);  13.969
80-89;   3.889 (57);   2.905 (43);   6.794
90+;   1.448 (71);     603 (29);   2.051
I alt; 186.179 (50); 185.107 (50); 371.286
