Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.505 (48);  11.361 (52);  21.866
10-19;  23.781 (49);  25.085 (51);  48.866
20-29;  29.546 (50);  29.895 (50);  59.441
30-39;  20.624 (50);  20.612 (50);  41.236
40-49;  22.556 (52);  20.508 (48);  43.064
50-59;  20.502 (51);  20.017 (49);  40.519
60-69;  10.197 (48);  10.903 (52);  21.100
70-79;   5.993 (49);   6.165 (51);  12.158
80-89;   3.498 (58);   2.567 (42);   6.065
90+;   1.323 (70);     558 (30);   1.881
I alt; 148.525 (50); 147.671 (50); 296.196
