Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.809 (48);  11.670 (52);  22.479
10-19;  25.023 (49);  26.335 (51);  51.358
20-29;  32.188 (49);  33.407 (51);  65.595
30-39;  21.469 (50);  21.746 (50);  43.215
40-49;  23.088 (52);  21.009 (48);  44.097
50-59;  20.838 (51);  20.338 (49);  41.176
60-69;  10.283 (48);  10.986 (52);  21.269
70-79;   6.039 (49);   6.205 (51);  12.244
80-89;   3.515 (58);   2.583 (42);   6.098
90+;   1.328 (70);     561 (30);   1.889
I alt; 154.580 (50); 154.840 (50); 309.420
