Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.977 (48);  11.851 (52);  22.828
10-19;  25.606 (49);  26.883 (51);  52.489
20-29;  33.195 (49);  34.746 (51);  67.941
30-39;  21.865 (50);  22.192 (50);  44.057
40-49;  23.350 (52);  21.250 (48);  44.600
50-59;  20.947 (51);  20.440 (49);  41.387
60-69;  10.334 (48);  11.040 (52);  21.374
70-79;   6.061 (49);   6.229 (51);  12.290
80-89;   3.532 (58);   2.594 (42);   6.126
90+;   1.329 (70);     562 (30);   1.891
I alt; 157.196 (50); 157.787 (50); 314.983
