Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.901 (48);  11.772 (52);  22.673
10-19;  25.352 (49);  26.623 (51);  51.975
20-29;  32.692 (49);  34.069 (51);  66.761
30-39;  21.671 (50);  21.971 (50);  43.642
40-49;  23.222 (52);  21.137 (48);  44.359
50-59;  20.890 (51);  20.394 (49);  41.284
60-69;  10.309 (48);  11.018 (52);  21.327
70-79;   6.049 (49);   6.215 (51);  12.264
80-89;   3.525 (58);   2.591 (42);   6.116
90+;   1.330 (70);     561 (30);   1.891
I alt; 155.941 (50); 156.351 (50); 312.292
