Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.917 (48);  11.790 (52);  22.707
10-19;  25.400 (49);  26.695 (51);  52.095
20-29;  32.787 (49);  34.220 (51);  67.007
30-39;  21.701 (50);  22.011 (50);  43.712
40-49;  23.244 (52);  21.163 (48);  44.407
50-59;  20.903 (51);  20.405 (49);  41.308
60-69;  10.314 (48);  11.022 (52);  21.336
70-79;   6.051 (49);   6.219 (51);  12.270
80-89;   3.526 (58);   2.592 (42);   6.118
90+;   1.330 (70);     561 (30);   1.891
I alt; 156.173 (50); 156.678 (50); 312.851
