Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  12.804 (48);  13.692 (52);  26.496
10-19;  28.667 (49);  29.866 (51);  58.533
20-29;  36.446 (49);  38.360 (51);  74.806
30-39;  24.001 (50);  24.166 (50);  48.167
40-49;  24.988 (53);  22.515 (47);  47.503
50-59;  21.763 (51);  21.218 (49);  42.981
60-69;  10.725 (48);  11.409 (52);  22.134
70-79;   6.259 (49);   6.449 (51);  12.708
80-89;   3.622 (58);   2.666 (42);   6.288
90+;   1.356 (70);     577 (30);   1.933
I alt; 170.631 (50); 170.918 (50); 341.549
